word,entropy
metal,4.597617755979558
dieta,4.451357612080601
secta,4.442996157465813
rueda,4.37817451939883
cesta,4.403396761311975
papel,5.348005557809252
enano,5.290326289526079
epica,4.695848613679932
perra,4.589161224733088
crear,4.648917030991507
carne,4.057292457060467
parte,4.304076870603084
cauce,5.232786072589086
laser,4.050521246785183
recta,4.052827886421747
terna,3.953487358652688
ideal,4.751749309989889
cenar,4.126028893901042
opera,4.412434607065325
cerda,4.07997017710177
arder,4.877053193023505
espia,4.7953527355832
polea,4.2743384864978475
suena,4.549519307934439
ilesa,4.446166280694897
muela,4.495092253566451
presa,4.439789109557222
andes,5.133618685133609
poeta,4.414513323226605
perla,4.077324931806119
tarde,4.328331150070865
panel,4.514308804053112
leona,4.206961251461711
pelar,4.351268300192939
padre,4.608114079361549
seria,3.8593756808876196
cerca,4.537433442371767
remar,4.862343464571938
lenta,4.1929779413726065
letra,4.00610454213728
tecla,4.22836959045717
carie,3.918358324819805
pesca,4.6108868974767665
rapel,4.313186349571045
nadie,4.591363331883566
pesar,4.563598186581665
menta,4.400862613063017
cameo,4.242538054458646
reina,3.880681387811929
crema,4.183591241049724
alien,4.438884830231037
calle,4.946354281692223
alero,3.984747054478955
paseo,4.461833054816468
media,4.4987014892157715
letal,5.075909012155182
lepra,4.175714259168065
padel,4.7988964800874445
plena,4.5043107791562536
mueca,4.577326396746971
nuera,4.227863565820285
sedar,4.571283160155397
poema,4.524948938617991
encia,4.412886087480726
clase,4.7468555662173975
etica,4.564907213015475
acero,4.1274156196095255
linea,4.049867701942007
celta,4.109008161171511
pecar,4.420515372320554
pared,4.570290370654201
arden,4.573356869395031
madre,4.5317106370073486
aireo,3.811954613169294
pulir,4.722834627279591
toesa,4.334292653692817
salen,4.4482831205941125
secan,4.612218194629947
nacer,4.081540803335286
cesar,4.289967541723747
